id,name,alias,collegeDataUrl,collegeDataId
3837,Cardinal Stritch University,,Cardinal-Stritch-University,315.0
12525,Caribbean University,,Caribbean-University,1421.0
3481,Carson-Newman University,Carson Newman College,Carson-Newman-University,1448.0
1908,Central Christian College of Kansas,,Central-Christian-College-of-Kansas,1397.0
4890,Central Penn College,,Central-Penn-College,3000.0
3026,Central State University,,Central-State-University,325.0
2539,Chadron State College,,Chadron-State-College,682.0
3317,Cheyney University of Pennsylvania,,Cheyney-University-of-Pennsylvania,227.0
1694,Chicago State University,,Chicago-State-University,326.0
2916,Chowan University,,Chowan-University,1249.0
1551,Clark Atlanta University,,Clark-Atlanta-University,1462.0
8976,Clayton State University,,Clayton-State-University,1264.0
3032,Cleveland State University,CSU,Cleveland-State-University,334.0
3427,Coker University,,,
667011,Colegio Universitario de San Juan,,,
1558,College of Coastal Georgia,,College-of-Coastal-Georgia,3221.0
666946,Colorado Mountain College,,Colorado-Mountain-College,3695.0
10148,Colorado Technical University,,Colorado-Technical-University,670.0
2456,Columbia College (MO),,,
2247,Concordia University Ann Arbor,,Concordia-University-Ann-Arbor,341.0
3557,Concordia University Texas,,Concordia-University-Texas,1229.0
2068,Coppin State University,,Coppin-State-University,1471.0
666944,Crowley's Ridge College,,Crowley's-Ridge-College,3682.0
2383,Crown College,,Crown-College,813.0
29040,CUNY--College of Staten Island,CUNY College of Staten Island CUNY College of Staten Island,,
10097,CUNY--Medgar Evers College,CUNY Medgar Evers College CUNY Medgar Evers College,,
2808,Daemen University,,,
